Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude,Agency Description,Color Description,Body Style Description
1103341116,2015-12-21T00:00:00.000,1251,,,CA,200304,,HOND,PA,GY,13147 WELBY WAY,01521,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1103700150,2015-12-21T00:00:00.000,1435,,,CA,201512,,GMC,VN,WH,525 S MAIN ST,1C51,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1104803000,2015-12-21T00:00:00.000,2055,,,CA,201503,,NISS,PA,BK,200 WORLD WAY,2R2,2,8939,WHITE CURB,58,6439997.9,1802686.4,,,
1104820732,2015-12-26T00:00:00.000,1515,,,CA,,,ACUR,PA,WH,100 WORLD WAY,2F11,2,000,17104h,,6440041.1,1802686.2,,,
1105461453,2015-09-15T00:00:00.000,115,,,CA,200316,,CHEV,PA,BK,GEORGIA ST/OLYMPIC,1FB70,1,8069A,NO STOPPING/STANDING,93,99999,99999,,,
1106226590,2015-09-15T00:00:00.000,19,,,CA,201507,,CHEV,VN,GY,SAN PEDRO S/O BOYD,1A35W,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1106500452,2015-12-17T00:00:00.000,1710,,,CA,201605,,MAZD,PA,BL,SUNSET/ALVARADO,00217,1,8070,PARK IN GRID LOCK ZN,163,99999,99999,,,
1106500463,2015-12-17T00:00:00.000,1710,,,CA,201602,,TOYO,PA,BK,SUNSET/ALVARADO,00217,1,8070,PARK IN GRID LOCK ZN,163,99999,99999,,,
1106506402,2015-12-22T00:00:00.000,945,,,CA,201605,,CHEV,PA,BR,721 S WESTLAKE,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999,,,
1106506413,2015-12-22T00:00:00.000,1100,,,CA,201701,,NISS,PA,SI,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999,,,
1106506424,2015-12-22T00:00:00.000,1100,,,CA,201511,,FORD,TR,WH,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999,,,
1106506435,2015-12-22T00:00:00.000,1105,,,CA,201701,,CHRY,PA,GO,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999,,,
1106506446,2015-12-22T00:00:00.000,1110,,,CA,201511,,BMW,PA,BK,1200 W MIRAMAR,2A75,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1106549754,2015-12-15T00:00:00.000,825,,,CA,201607,,PTRB,TR,BK,4TH/STATE,CM96,1,8069A,NO STOPPING/STANDING,93,99999,99999,,,
1107179581,2015-12-27T00:00:00.000,1055,,,CA,201605,,TOYO,PA,BK,3100 N HOLLYRIDGE DR,,54,8058L,PREF PARKING,68,99999,99999,,,
1107179592,2015-12-27T00:00:00.000,1200,,,CA,201602,,MBNZ,PA,BK,3115 N BERENDO DR,,54,8058L,PREF PARKING,68,99999,99999,,,
1107179603,2015-12-27T00:00:00.000,1400,,,CA,201611,,NISS,PA,WH,3100 N BEACHWOOD DR,,54,8058L,PREF PARKING,68,99999,99999,,,
1107539823,2015-09-16T00:00:00.000,2120,,,CA,201502,,NISS,PA,,BLAINE/11TH PL,1FB95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1107539834,2015-09-16T00:00:00.000,1045,,,CA,,,CHEV,PA,BK,1246 S FIGUEROA ST,1L20,1,8069AP,NO STOP/STAND PM,93,99999,99999,,,
1107780811,2015-12-22T00:00:00.000,1102,,,CA,201606,,HOND,PA,BK,PLATA/RAMPART,2A1,1,8069B,NO PARKING,73,99999,99999,,,
1107780822,2015-12-22T00:00:00.000,1105,,,FL,201611,,FORD,PA,WH,,2A1,1,8069B,NO PARKING,73,99999,99999,,,
1107973985,2015-12-18T00:00:00.000,1920,,,CA,201509,,NISS,PA,BK,VICAR/CASTLE HEIGHTS,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1107973996,2015-12-18T00:00:00.000,1930,,,CA,201511,,HOND,PA,BK,REGENT ST/IVY ST,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1107978852,2015-12-18T00:00:00.000,1900,,,CA,201511,,HYUN,PA,SI,1707 GLENDON AV,8A29,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1108311002,2015-12-22T00:00:00.000,140,,,CA,201603,,FORD,PA,RE,12113 BURBANK BL,01532,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108311013,2015-12-22T00:00:00.000,150,,,CA,201610,,FORD,SU,GY,6936 AGNES AV,01514,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108311024,2015-12-22T00:00:00.000,205,,,CA,201607,,MASE,PA,BL,12036 SATICOY ST,01503,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108311035,2015-12-22T00:00:00.000,200,,,CA,201511,,BMW,PA,BK,7466 LAUREL CYN BL,01503,1,099,5204,25,99999,99999,,,
1108311046,2015-12-22T00:00:00.000,225,,,CA,201512,,PONT,PA,SI,BURBANK BL/COLFAX AV,01535,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108311050,2015-12-22T00:00:00.000,510,,,CA,201601,,TESL,PA,GY,11411 DONA PEGITA DR,,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108319494,2015-12-22T00:00:00.000,135,,,CA,201601,,MBNZ,PA,WH,12355 BURBANK BL,01503,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1108321701,2015-12-21T00:00:00.000,926,,,CA,201510,,ACUR,PA,BK,5741 FLUTCHER AVE,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1108321712,2015-12-21T00:00:00.000,935,,,CA,201506,,TOYO,PA,SI,5611 FLUTCHER AVE,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1108321723,2015-12-21T00:00:00.000,1041,,,CA,201610,,HOND,PA,BK,10635 FRIAR ST,15EL5,1,8056E4,RED ZONE,93,6451860.6,1890192.1,,,
1108321734,2015-12-21T00:00:00.000,1058,,,CA,201506,,DODG,HS,WH,WELBY WAY/VANOWEN ST,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1108347984,2015-12-09T00:00:00.000,1250,,,CA,201511,,SUBA,PA,MA,GRAND AVE/57TH ST,00013,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1108347995,2015-12-09T00:00:00.000,1300,,,CA,201511,,HYUN,PA,WH,48TH ST/GRAND AVE,00013,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109056185,2015-12-28T00:00:00.000,1938,WF55,,CA,201512,,ACUR,PA,GY,100 S HARPER AV,00472,54,8813B,METER EXPIRED,63,99999,99999,,,
1109056196,2015-12-28T00:00:00.000,1942,WF54,,CA,,,TOYO,PA,GY,100 S HARPER,00472,54,8813B,METER EXPIRED,63,99999,99999,,,
1109056200,2015-12-28T00:00:00.000,1951,WF177A,,CA,201604,,TOYO,PA,GY,8372 W 3RD ST,00472,54,8813B,METER EXPIRED,63,99999,99999,,,
1109056211,2015-12-28T00:00:00.000,1953,WF99,,CA,201603,,TOYO,PA,WH,1005 ORLANDO,00472,54,8813B,METER EXPIRED,63,99999,99999,,,
1109056222,2015-12-28T00:00:00.000,1955,WF100,,CA,201601,,NISS,PA,SI,100 S ORLANDO,00472,54,8813B,METER EXPIRED,63,99999,99999,,,
1109139006,2015-12-19T00:00:00.000,1550,,,CA,201608,,HOND,,GO,14006 RIVERSIDE DR,35MQ1,1,225078A,HANDICAP/NO DP ID,363,6429130.8,1880027.3,,,
1109455266,2015-12-26T00:00:00.000,1815,,,NY,,,TOYO,PA,WH,3200 CANYON DR,,36,8603,PK IN PROH AREA,68,6467477.1,1868721,,,
1109455270,2015-12-27T00:00:00.000,1815,,,CA,201603,,INFI,PA,GY,3200 CANYON DR,,36,8603,PK IN PROH AREA,68,6467477.1,1868721,,,
1109455745,2015-12-23T00:00:00.000,2140,,,CA,201512,,TOYO,TR,BL,835 N ACADEMY RD,,36,8603,PK IN PROH AREA,68,6490251.3,1851321.5,,,
1109455970,2015-12-26T00:00:00.000,2240,,,CA,201507,,TOYO,PA,GY,3787 MARATHON,,36,8603,PK IN PROH AREA,68,6475830.9,1853025.9,,,
1109484191,2015-12-16T00:00:00.000,100,,,CA,201508,,NISS,PA,BK,TOBERMAN N/O 18TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109484202,2015-12-16T00:00:00.000,135,,,CA,201510,,FORD,PA,BL,TOBERMAN/17TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109484213,2015-12-21T00:00:00.000,310,,,CA,201511,,FORD,PA,RE,UNION AV/17TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109486545,2015-12-16T00:00:00.000,1245,,,CA,201602,,NISS,PA,BL,2504 JAMES M WOOD,00261,1,8056E4,RED ZONE,93,99999,99999,,,
1109486792,2015-12-16T00:00:00.000,1435,,,CA,201511,,TOYO,TR,WH,VENDOME/MARATHON,2A17,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109704923,2015-12-28T00:00:00.000,845,,,CA,201606,,ACUR,PA,BK,1606 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999,,,
1109704934,2015-12-28T00:00:00.000,847,,,OR,200316,,SUBA,PA,SI,1620 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999,,,
1109704945,2015-12-28T00:00:00.000,848,,,CA,201512,,TOYO,TR,BL,1624 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999,,,
1109810450,2015-12-23T00:00:00.000,2304,,,CA,201605,,MERC,PA,WH,2551 MOTOR,,36,8603,PK IN PROH AREA,68,6438048.2,1839690.7,,,
1109811360,2015-12-26T00:00:00.000,2231,,,CA,201506,,SCIO,SU,BK,1141 EAGLE VISTA DR,,36,8603,PK IN PROH AREA,68,6504463.3,1874621.5,,,
1109812060,2015-12-22T00:00:00.000,2306,,,CA,201610,,GMC,VN,WH,12467 OSBORNE ST,,36,8603,PK IN PROH AREA,68,99999,99999,,,
1109818625,2015-12-27T00:00:00.000,2235,,,CA,201601,,CADI,PA,BK,2551 MOTOR AVE,,34,6344K2,NO PK BET 1-3AM,68,6438048.2,1839690.7,,,
1109926252,2015-12-18T00:00:00.000,738,,,CA,201508,,KIA,PA,WH,CATTARAUGUS AVE/HOLT,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109926263,2015-12-18T00:00:00.000,2015,,,CA,201511,,MBNZ,PA,GY,CASTLE HGTS AV/VICAR,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1109926274,2015-12-18T00:00:00.000,2020,,,CA,201510,,NISS,PA,WH,3258 CASTLE HEIGHTS,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110078550,2015-12-18T00:00:00.000,2334,,,CA,201510,,MAZD,PA,BK,1937 GREENFIELD AV,8EL2,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110078561,2015-12-19T00:00:00.000,215,,,CA,201508,,HOND,PA,GY,IOWA/FEDERAL,8EL2,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110245776,2015-12-16T00:00:00.000,200,,,CA,201504,,FREI,TR,RE,IMPERIAL/LA CIENEGA,,1,018,22502A,63,99999,99999,,,
1110245780,2015-12-16T00:00:00.000,240,,,CA,201512,,CHEV,TR,WH,AVIATION/IMPERIAL,,1,8069AP,NO STOP/STAND PM,93,99999,99999,,,
1110245791,2015-12-21T00:00:00.000,815,,,CA,201608,,KW,TR,RE,SEPULVEDA/VENICE S/O,,1,018,22502A,63,99999,99999,,,
1110245802,2015-12-21T00:00:00.000,1335,,,CA,201601,,HINO,TR,WH,IMPERIAL/LA CIENEGA,,1,8069AP,NO STOP/STAND PM,93,99999,99999,,,
1110265251,2015-12-16T00:00:00.000,1340,,,CA,,,,TR,WH,ORION AVE/SHERMAN WY,22MP4,1,5204A,EXPIRED TAGS,25,99999,99999,,,
1110265262,2015-12-16T00:00:00.000,1455,,,CA,201506,,LIND,MH,TA,COLUMBUS S/O GRAHAM,22MP4,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110265273,2015-12-16T00:00:00.000,1500,,,CA,201505,,TOYO,PA,RE,COLUMBUS AVE/GRESHAM,22MP4,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110265284,2015-12-18T00:00:00.000,1100,,,CA,201407,,MITS,PA,RE,SEPULVEDA BL/COVELLO,22MP4,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110292982,2015-09-16T00:00:00.000,2115,,,CA,201508,,VOLK,PA,WH,BLAINE/11TH PL,LAPD,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110292993,2015-09-16T00:00:00.000,2130,,,CA,201506,,MITS,PA,GY,BLAINE/11TH PL,1FB95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110297521,2015-09-14T00:00:00.000,1905,,,CA,201609,,CHEV,PA,BL,SUNBURY/JAMES M WOOD,1FB94,1,8069AP,NO STOP/STAND PM,93,99999,99999,,,
1110297532,2015-09-14T00:00:00.000,2142,,,CA,201605,,NISS,PA,GY,800 W OLYMPIC BL,1FB94,1,8056E4,RED ZONE,93,99999,99999,,,
1110299315,2015-09-14T00:00:00.000,1920,,,CA,201509,,HOND,PA,BK,GEORGIA/17TH ST,00192,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110299536,2015-09-14T00:00:00.000,1810,,,CA,201508,,LROV,SU,BK,11TH E/O,1FB92,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110299540,2015-09-14T00:00:00.000,224,,,CA,201508,,TOYO,PA,GY,FIGUEROA N/O VENICE,1FB92,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110299551,2015-09-14T00:00:00.000,2245,,,CA,201503,,CADI,PA,BK,FIGUEROA N/O VENICE,1FB92,1,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1110299562,2015-09-14T00:00:00.000,2305,CB1463B,,CA,201509,,VOLK,PA,BL,HOPE S/O 11TH ST,1FB92,1,5200A,DSPLYPLATE A,25,99999,99999,,,
1111259715,2015-12-26T00:00:00.000,1920,,,CA,201702,,OLDS,,BU,501 S VENICE BLVD,,36,80714,PRIVATE PROPERTY,68,6420102.2,1817944.7,,,
1111881573,2015-12-23T00:00:00.000,2150,,,CA,201606,,BMW,SU,WH,380 WORLD WAY U/L,2F91,2,8939,WHITE CURB,58,6439920.1,1802686.7,,,
1111884071,2015-12-12T00:00:00.000,922,,,CA,201506,,HOND,PA,WH,7610 WOODLEY AVE,1A4,11,4000A1,NO EVIDENCE OF REG,50,6415432.1,1898663.3,,,
1111884082,2015-12-12T00:00:00.000,930,,,CA,201509,,HOND,PA,GY,7610 WOODLEY AVE,1A4,11,4000A1,NO EVIDENCE OF REG,50,6415432.1,1898663.3,,,
1111884093,2015-12-12T00:00:00.000,938,,,WA,201505,,VOLK,PA,GY,7610 WOODLEY AVE/G,1A4,11,4000A1,NO EVIDENCE OF REG,50,99999,99999,,,
1111884104,2015-12-18T00:00:00.000,1130,,,CA,201505,,LROV,UT,RE,7610 WOODLEY AVE 1E,1A4,11,4000A1,NO EVIDENCE OF REG,50,6415432.1,1898663.3,,,
1111884115,2015-12-19T00:00:00.000,1130,,,CA,201412,,NISS,PA,GR,7610 WOODLEY AVE/B,1A4,11,4000A1,NO EVIDENCE OF REG,50,6415432.1,1898663.3,,,
